Exercise,Difficulty Level,Target Muscle Group,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms,Grip,Load Position (Ending),Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
Barbell Front Rack Pistol Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Single Leg Standing,Double Arm,Continuous,Pronated,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance
Barbell Back Rack Pistol Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Single Leg Standing,Double Arm,Continuous,Pronated,Back Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance
Barbell Zercher Pistol Squat,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Single Leg Standing,Double Arm,Continuous,No Grip,Zercher,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance
Dumbbell Crush Grip Front Rack Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1,None,0,Standing,Double Arm,Continuous,Crush Grip,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Double Kettlebell Decline Bench Press,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,2,Bench (Decline),1,Supine,Double Arm,Continuous,Pronated,Above Chest,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Kettlebell Decline Bench Press,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,1,Bench (Decline),1,Supine,Single Arm,Continuous,Pronated,Above Chest,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Macebell Order Squat,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Macebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Unsorted*
Sandbag Front Rack Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sandbag,1,None,0,Standing,Double Arm,Continuous,Pronated,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Sandbag Back Rack Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sandbag,1,None,0,Standing,Double Arm,Continuous,Pronated,Back Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Sandbag Back Rack Alternating Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Sandbag,1,None,0,Standing,Double Arm,Continuous,Pronated,Back Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Sandbag Back Rack Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Sandbag,1,None,0,Standing,Double Arm,Continuous,Pronated,Back Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Sandbag Back Rack Low Switch Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Sandbag,1,None,0,Standing,Double Arm,Continuous,Pronated,Back Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Sandbag Back Rack Foot Elevated Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Sandbag,1,None,0,Standing,Double Arm,Continuous,Pronated,Back Rack,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bulgarian Bag Back Rack Curtsy Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bulgarian Bag,1,None,0,Standing,Double Arm,Continuous,Neutral,Back Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bulgarian Bag Back Rack Alternating Curtsy Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bulgarian Bag,1,None,0,Standing,Double Arm,Continuous,Neutral,Back Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Macebell Offset Bicep Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Macebell,1,None,0,Standing,Double Arm,Continuous,Supinated,Other,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Single Arm Suspension Ipsilateral Skater Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Suspension Trainer,1,None,0,Single Leg Standing,Single Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Balance
Sandbag Back Rack Walking Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sandbag,1,None,0,Walking,Double Arm,Continuous,Neutral,Back Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Alternating Double Kettlebell Decline Bench Press,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,2,Bench (Decline),1,Supine,Double Arm,Alternating,Pronated,Above Chest,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Bottoms Up Decline Bench Press,Novice,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,2,Bench (Decline),1,Supine,Double Arm,Continuous,Bottoms Up,Above Chest,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Alternating Double Kettlebell Bottoms Up Decline Bench Press,Novice,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,2,Bench (Decline),1,Supine,Double Arm,Alternating,Bottoms Up,Above Chest,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Alternating Double Dumbbell Prone Row,Novice,Back,Latissimus Dorsi,,,Dumbbell,2,Bench (Flat),1,Prone,Double Arm,Alternating,Neutral,Other,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Prone Row,Novice,Back,Latissimus Dorsi,,,Dumbbell,2,Bench (Flat),1,Prone,Double Arm,Alternating,Neutral,Other,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Pendlay Row,Novice,Back,Latissimus Dorsi,Biceps Brachii,,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Decline Bench Press,Novice,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,1,Bench (Decline),1,Supine,Single Arm,Continuous,Bottoms Up,Above Chest,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Slider Dumbbell Goblet Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders,1,Dumbbell,1,Standing,Double Arm,Continuous,Goblet,Front Rack,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
Slider Single Arm Dumbbell Front Rack Contralateral Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders,1,Dumbbell,1,Standing,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Contralateral,Bodybuilding
Slider Single Arm Dumbbell Front Rack Ipsilateral Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders,1,Dumbbell,1,Standing,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Ipsilateral,Bodybuilding
Slider Single Arm Dumbbell Overhead Contralateral Lateral Lunge,Intermediate,Adductors,Adductor Magnus,,,Sliders,1,Dumbbell,1,Standing,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Contralateral,Bodybuilding
Slider Single Arm Dumbbell Overhead Ipsilateral Lateral Lunge,Intermediate,Adductors,Adductor Magnus,,,Sliders,1,Dumbbell,1,Standing,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Ipsilateral,Bodybuilding
Slider Single Arm Dumbbell Low Hold Contralateral Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders,1,Dumbbell,1,Standing,Single Arm,Continuous,Neutral,Low Hold,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Contralateral,Bodybuilding
Double Dumbbell Low Hold Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Low Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Macebell Reverse Grip Offset Bicep Curl,Novice,Forearms,Brachioradialis,Biceps Brachii,Brachialis,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Elbow Flexion,Anti-Lateral Flexion,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Single Arm Clubbell Mill to Reverse Mill,Advanced,Shoulders,Posterior Deltoids,Gluteus Maximus,Obliques,Clubbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Behind Back,No Elevation,Combo Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Unilateral,Ballistics
Slider Clubbell Order Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders,1,Clubbell,1,Standing,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
Slider Double Clubbell Order Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders,1,Clubbell,2,Standing,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
Slider Single Arm Clubbell Order Contralateral Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders,1,Clubbell,1,Standing,Single Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Contralateral,Bodybuilding
Slider Single Arm Clubbell Order Ipsilateral Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders,1,Clubbell,1,Standing,Single Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Ipsilateral,Bodybuilding
Slider Macebell Order Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders,1,Macebell,1,Standing,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
Slider Single Arm Macebell Order Contralateral Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders,1,Macebell,1,Standing,Single Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Contralateral,Bodybuilding
Slider Single Arm Macebell Order Ipsilateral Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders,1,Macebell,1,Standing,Single Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Ipsilateral,Bodybuilding
Stability Ball Miniband Feet Elevated Glute Bridge,Novice,Glutes,Gluteus Maximus,,,Stability Ball,1,Miniband,1,Supine,No Arms,Continuous,No Grip,No Load,Feet Elevated,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
Stability Ball Frog Reverse Hyperextension,Novice,Glutes,Gluteus Maximus,,,Stability Ball,1,None,0,Prone,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Isolation,Bilateral,Bodybuilding
Stability Ball Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Stability Ball,1,None,0,Single Leg Supported,No Arms,Continuous,No Grip,No Load,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Suitcase Bulgarian Split Squat Jump,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,Bench (Flat),1,Single Leg Supported,Double Arm,Continuous,Neutral,Suitcase,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Plyometric
Slider Suspension Reverse Lunge,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Suspension Trainer,1,Standing,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
Slider Bulgarian Bag Back Rack Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders,1,Bulgarian Bag,1,Standing,Double Arm,Continuous,Neutral,Back Rack,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
Slider Sandbag Front Rack Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders,1,Sandbag,1,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
Slider Sandbag Back Rack Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders,1,Sandbag,1,Standing,Double Arm,Continuous,Neutral,Back Rack,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
Miniband Ankle Monster Walk,Novice,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1,None,0,Walking,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Abduction,,,Transverse Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
Slider Landmine Goblet Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders,1,Landmine,1,Standing,Double Arm,Continuous,Goblet,Front Rack,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
Slider Landmine Low Hold Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders,1,Landmine,1,Standing,Double Arm,Continuous,Neutral,Low Hold,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
Slider Single Arm Kettlebell Front Rack Contralateral Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders,1,Kettlebell,1,Standing,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Contralateral,Bodybuilding
Slider Single Arm Kettlebell Front Rack Ipsilateral Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders,1,Kettlebell,1,Standing,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Ipsilateral,Bodybuilding
Slider Single Arm Kettlebell Bottoms Up Front Rack Contralateral Lateral Lunge,Intermediate,Adductors,Adductor Magnus,,,Sliders,1,Kettlebell,1,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Contralateral,Bodybuilding
Slider Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Lateral Lunge,Intermediate,Adductors,Adductor Magnus,,,Sliders,1,Kettlebell,1,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Ipsilateral,Bodybuilding
Slider Single Arm Kettlebell Overhead Contralateral Lateral Lunge,Intermediate,Adductors,Adductor Magnus,,,Sliders,1,Kettlebell,1,Standing,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Contralateral,Bodybuilding
Slider Single Arm Kettlebell Overhead Ipsilateral Lateral Lunge,Intermediate,Adductors,Adductor Magnus,,,Sliders,1,Kettlebell,1,Standing,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Ipsilateral,Bodybuilding
Slider Single Arm Kettlebell Bottoms Up Overhead Contralateral Lateral Lunge,Advanced,Adductors,Adductor Magnus,,,Sliders,1,Kettlebell,1,Standing,Single Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Contralateral,Bodybuilding
Slider Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Lateral Lunge,Advanced,Adductors,Adductor Magnus,,,Sliders,1,Kettlebell,1,Standing,Single Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Ipsilateral,Bodybuilding
Slider Single Arm Kettlebell Low Hold Contralateral Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders,1,Kettlebell,1,Standing,Single Arm,Continuous,Neutral,Low Hold,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Contralateral,Bodybuilding
Slider Plate Overhead Lateral Lunge,Intermediate,Adductors,Adductor Magnus,,,Sliders,1,Weight Plate,1,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
Slider Plate Overhead Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Weight Plate,1,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Macebell Mill to Reverse Mill,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Behind Back,No Elevation,Combo Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Unilateral,Ballistics
Single Arm Dumbbell Sots Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Sots Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Alternating Double Dumbbell Sots Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,2,None,0,Standing,Double Arm,Alternating,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Seesaw Sots Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,2,None,0,Standing,Double Arm,Alternating,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Hang Snatch,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids,,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
Single Arm Dumbbell Hang Snatch,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids,,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Alternating Single Arm Dumbbell Hang Snatch,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids,,Dumbbell,1,None,0,Standing,Single Arm,Alternating,Neutral,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Miniband Kneeling Side Plank Clamshell,Novice,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Miniband,1,None,0,Side Plank,Single Arm,Continuous,Forearm,No Load,No Elevation,Single Exercise,Hip External Rotation,Anti-Lateral Flexion,,Transverse Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
Miniband Thigh Side Plank Hip Abduction,Novice,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1,None,0,Side Plank,Single Arm,Continuous,Forearm,No Load,No Elevation,Single Exercise,Hip Abduction,Anti-Lateral Flexion,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
Stability Ball Feet Elevated Russian Twist,Novice,Abdominals,Obliques,Rectus Abdominis,,Stability Ball,1,None,0,Seated Floor,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
